"Data 3: Nematoe individual biomass = ug, heavy metal concentration = pg ug-1",,,,,,,,
,,,,,,,,
Area,Trophic_group,Code,nematode_individual_biomass,Cr,Cu,Mn,Ni,Zn
Bagnoli-Coroglio Bay,predators of microbes,1A,0.78,2.45,187.97,1.14,14,442.85
Bagnoli-Coroglio Bay,predators of microbes,1A,1.05,1.87,177.57,1.76,7.83,424.25
Bagnoli-Coroglio Bay,predators of microbes,1A,0.52,0,201.69,2.38,15.61,421.07
Bagnoli-Coroglio Bay,predators of microbes,1A,0.34,2.07,139.18,0.88,9.27,417.52
Bagnoli-Coroglio Bay,predators of microbes,1A,0.43,1.93,203.4,1.78,9.81,449.02
Bagnoli-Coroglio Bay,predators of microbes,1A,0.25,0.47,121.01,0.9,7.29,370.93
Bagnoli-Coroglio Bay,predators of microbes,1A,0.32,1.1,270.02,1.3,24.82,325.08
Bagnoli-Coroglio Bay,predators of microbes,1A,0.43,5.11,264.79,4.37,33.94,160.83
Bagnoli-Coroglio Bay,predators of microbes,1A,0.22,0.81,276.72,0,13.84,297.85
Bagnoli-Coroglio Bay,predators of microbes,1A,0.45,10.76,258.52,4.71,41.46,124.42
Bagnoli-Coroglio Bay,predators of microbes,1A,0.58,8.27,250.13,7.48,52.33,178.04
Bagnoli-Coroglio Bay,predators of microbes,1A,0.32,1.58,171.75,2.16,32.66,373.95
Bagnoli-Coroglio Bay,predators of microbes,1A,0.35,1.84,225.13,1.23,17.87,420.43
Bagnoli-Coroglio Bay,predators of microbes,1A,0.41,10.71,176.1,6.92,30.77,115.91
Bagnoli-Coroglio Bay,predators of microbes,1A,0.28,11.93,196.2,6.86,50.24,152.9
Bagnoli-Coroglio Bay,deposit feeders,1B,0.63,1.38,47.52,5.57,5.76,202.59
Bagnoli-Coroglio Bay,deposit feeders,1B,0.96,0.48,71.8,0.45,1.61,414.72
Bagnoli-Coroglio Bay,deposit feeders,1B,0.3,1.01,48.45,1.55,3.78,249.72
Bagnoli-Coroglio Bay,deposit feeders,1B,1.09,1.32,19.48,4.7,0.85,242.98
Bagnoli-Coroglio Bay,deposit feeders,1B,1.23,1.36,58.51,1.04,2.55,416.41
Bagnoli-Coroglio Bay,deposit feeders,1B,0.95,0.93,39.81,0.89,3.01,240.37
Bagnoli-Coroglio Bay,deposit feeders,1B,2.15,1.46,31.69,2.94,2.68,109.37
Bagnoli-Coroglio Bay,deposit feeders,1B,2.35,1.51,52.07,1.62,2.41,131.18
Bagnoli-Coroglio Bay,deposit feeders,1B,1.94,1.78,58.42,1.77,2.56,72.74
Bagnoli-Coroglio Bay,deposit feeders,1B,0.47,4.12,41.67,4.89,6.66,289.81
Bagnoli-Coroglio Bay,deposit feeders,1B,0.58,0,86.82,0,0,445.61
Bagnoli-Coroglio Bay,deposit feeders,1B,0.35,1.11,62.64,2.26,5.33,260.99
Bagnoli-Coroglio Bay,deposit feeders,1B,1.05,1.48,38.97,1.2,2.05,288.73
Bagnoli-Coroglio Bay,deposit feeders,1B,1.21,0.49,72.09,0.47,1.18,335.15
Bagnoli-Coroglio Bay,deposit feeders,1B,0.9,7.93,37.92,2.1,8.21,47.51
Bagnoli-Coroglio Bay,microalgal grazers,2A,2.19,2.53,88.18,0.94,3.13,350.57
Bagnoli-Coroglio Bay,microalgal grazers,2A,2.46,2.28,49.19,1.32,3.05,396.29
Bagnoli-Coroglio Bay,microalgal grazers,2A,1.93,1,67.39,0.71,2.4,439.04
Bagnoli-Coroglio Bay,microalgal grazers,2A,1.11,0.5,81.73,0.18,2.37,426.35
Bagnoli-Coroglio Bay,microalgal grazers,2A,1.28,0.84,38.69,0.45,1.79,473.04
Bagnoli-Coroglio Bay,microalgal grazers,2A,0.95,0.67,64.53,0.6,1.15,446.69
Bagnoli-Coroglio Bay,microalgal grazers,2A,0.7,0.23,95.34,0.27,1.22,438.73
Bagnoli-Coroglio Bay,microalgal grazers,2A,0.83,0.39,54.01,0.77,1.65,494.15
